Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 1	Area Sample 1	#Peptides	#Unique	#Spec Sample 1	PTM	Avg. Mass	Description
1	5	LLHKPE_01533	448,78	80	80	4,2E+09	58	29	222	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101032	pyruvate  phosphate dikinase
2	117	LLHKPE_02861	377,38	87	87	3,4E+09	34	13	190	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35690	type I glyceraldehyde-3-phosphate dehydrogenase
3	12	JABIIP_02418	421,92	72	72	7,3E+08	51	19	140	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101161	pyruvate  phosphate dikinase
5	50	FCFFJI_02098	373,63	58	58	6,9E+09	32	28	127	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71280	acetate--CoA ligase
4	13	LLHKPE_02081	426,01	71	71	1,8E+09	47	23	127	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96774	Alpha-1 4 glucan phosphorylase
6	200	LLHKPE_02445	337,26	23	23	9,0E+09	19	19	125	Deamidation (NQ); Oxidation (M)	133176	hypothetical protein
7	16	FCFFJI_02000	412,96	72	72	7,5E+09	38	31	120	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69960	propionate--CoA ligase
8	88	FCFFJI_01079	378,75	65	65	8,6E+09	28	27	117	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47467	Branched-chain amino acid ABC transporter substrate-binding protein
9	412	FCFFJI_00925	343,29	52	52	1,7E+10	16	16	115	Deamidation (NQ); Oxidation (M)	42704	Porin domain-containing protein
10	874	FCFFJI_00074	300,23	53	53	5,9E+09	11	10	111	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26100	Acetoacetyl-CoA reductase
11	232	LLHKPE_03949	326,63	83	83	1,7E+09	20	10	101	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	38631	class II fructose-bisphosphate aldolase
12	77	BDJIJG_00228	382,5	42	42	3,3E+07	31	1	97	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101584	pyruvate  phosphate dikinase
13	17	FCFFJI_01093	385,61	69	69	4,2E+09	32	31	95	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	48651	ABC transporter substrate-binding protein
14	18	LLHKPE_00131	388,52	72	72	3,0E+09	37	20	94	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70224	propionate--CoA ligase
15	378	LLHKPE_00130	306,38	53	53	2,1E+09	14	8	94	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35093	malate dehydrogenase
17	296	LLHKPE_00373	339,58	77	77	3,3E+09	21	13	92	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26508	Acetoacetyl-CoA reductase
16	86	LLHKPE_02093	350,26	78	78	2,6E+09	26	17	92	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45193	phosphopyruvate hydratase
18	9	LLHKPE_01762	379,12	67	67	3,2E+09	34	19	91	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67598	phosphoenolpyruvate carboxykinase (GTP)
