Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 3	Area Sample 3	#Peptides	#Unique	#Spec Sample 3	PTM	Avg. Mass	Description
339	250	FCFFJI_01549	214,78	24	24	1,2E+08	13	13	27		80349	cyanophycin synthetase
22	435	LLHKPE_01685	317,35	45	45	1,9E+10	12	12	95	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	52613	DNRLRE domain-containing protein
58	234	LLHKPE_02739	349,2	59	59	1,1E+10	17	17	67	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43722	DUF4331 domain-containing protein
17	200	LLHKPE_02445	331,02	21	21	9,6E+09	15	15	99	Deamidation (NQ); Oxidation (M)	133176	hypothetical protein
8	88	FCFFJI_01079	392,87	63	63	9,4E+09	27	26	117	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47467	Branched-chain amino acid ABC transporter substrate-binding protein
26	412	FCFFJI_00925	336,42	52	52	9,2E+09	15	15	90	Deamidation (NQ); Oxidation (M)	42704	Porin domain-containing protein
45	874	FCFFJI_00074	300,55	53	53	8,6E+09	11	9	73	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26100	Acetoacetyl-CoA reductase
14	16	FCFFJI_02000	422,42	71	71	8,3E+09	37	28	104	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69960	propionate--CoA ligase
15	378	LLHKPE_00130	331,53	53	53	7,1E+09	15	9	103	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35093	malate dehydrogenase
4	296	LLHKPE_00373	363,28	83	83	6,9E+09	22	13	127	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26508	Acetoacetyl-CoA reductase
54	1086	LLHKPE_01511	336,08	92	92	5,9E+09	15	10	68	Deamidation (NQ); Oxidation (M)	16499	Phasin family protein
16	34	LLHKPE_00675	403,98	63	63	5,7E+09	31	20	100	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71668	acetate--CoA ligase
18	86	LLHKPE_02093	369,95	78	78	5,3E+09	25	16	97	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45193	phosphopyruvate hydratase
81	351	LLHKPE_00429	356,34	75	75	4,6E+09	22	17	58	Deamidation (NQ); Oxidation (M)	34317	peptidylprolyl isomerase
24	50	FCFFJI_02098	374,58	59	59	4,4E+09	33	28	93	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71280	acetate--CoA ligase
11	18	LLHKPE_00131	396,57	70	70	4,4E+09	39	19	110	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70224	propionate--CoA ligase
64	129	FCFFJI_02319	329,74	75	75	4,3E+09	17	17	65	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40461	Acetyl-CoA C-acyltransferase family protein
23	17	FCFFJI_01093	408,8	69	69	3,8E+09	34	34	95	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	48651	ABC transporter substrate-binding protein
