Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 5	Area Sample 5	#Peptides	#Unique	#Spec Sample 5	PTM	Avg. Mass	Description
1	5	LLHKPE_01533	468,35	80	80	4220000000	59	29	227	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101032	pyruvate  phosphate dikinase
2	12	JABIIP_02418	454,2	71	71	1470000000	57	21	173	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101161	pyruvate  phosphate dikinase
4	77	BDJIJG_00228	445,76	77	77	1320000000	51	17	158	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101584	pyruvate  phosphate dikinase
13	83	AIFLKA_03327	422,09	66	66	1490000000	57	31	121	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	130793	pyruvate:ferredoxin (flavodoxin) oxidoreductase
8	13	LLHKPE_02081	415,84	69	69	2540000000	47	23	140	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96774	Alpha-1 4 glucan phosphorylase
10	54	DHPIBI_00441	413,41	51	51	1730000000	39	6	128	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101346	pyruvate  phosphate dikinase
17	134	AIFLKA_00238	392,11	55	55	1410000000	31	7	110	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71790	acetate--CoA ligase
9	62	AIFLKA_02199	390,7	69	69	1930000000	42	13	130	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70334	propionate--CoA ligase
111	1	LLHKPE_00788	388,21	76	76	1120000000	26	18	57	Carbamidomethylation; Deamidation (NQ)	59404	alpha-D-glucose phosphate-specific phosphoglucomutase
36	34	LLHKPE_00675	386,98	66	66	4280000000	34	21	90	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71668	acetate--CoA ligase
22	132	AIFLKA_02351	386,94	66	66	2110000000	33	16	105	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	68470	Poly-beta-hydroxybutyrate polymerase
7	80	AIFLKA_01493	384,66	61	61	1790000000	43	13	142	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95468	Alpha-1 4 glucan phosphorylase
5	241	AIFLKA_02757	384,28	86	86	102000000	29	2	153	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35663	type I glyceraldehyde-3-phosphate dehydrogenase
24	18	LLHKPE_00131	381,39	65	65	3740000000	38	17	105	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70224	propionate--CoA ligase
23	20	LLHKPE_01605	380,83	59	59	664000000	32	17	105	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63980	fumarate reductase (quinol) flavoprotein subunit
41	3	LLHKPE_02050	380,3	78	78	893000000	30	8	85	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49584	F0F1 ATP synthase subunit beta
3	117	LLHKPE_02861	379,9	87	87	1900000000	32	11	158	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35690	type I glyceraldehyde-3-phosphate dehydrogenase
116	5440	AIFLKA_02713	377,63	69	69	957000000	29	20	57	Deamidation (NQ); Oxidation (M)	61763	Arylsulfatase
12	97	AIFLKA_01000	376,62	69	69	1660000000	35	10	121	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67581	phosphoenolpyruvate carboxykinase (GTP)
33	21	LLHKPE_00710	375,7	72	72	1620000000	35	26	93	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63539	crotonyl-CoA carboxylase/reductase
27	85	LLHKPE_02862	375,61	82	82	2840000000	25	9	97	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41390	Phosphoglycerate kinase
62	37	LLHKPE_00470	375,56	57	57	402000000	32	10	74	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79872	methylmalonyl-CoA mutase
16	9	LLHKPE_01762	374,6	68	68	2980000000	35	19	110	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67598	phosphoenolpyruvate carboxykinase (GTP)
40	19	LLHKPE_03895	373,31	65	65	1900000000	38	25	85	Carbamidomethylation; Oxidation (M)	64773	isocitrate dehydrogenase (NADP(+))
50	70	LLHKPE_00746	372,79	53	53	1880000000	33	32	80	Deamidation (NQ); Oxidation (M)	103148	Sulfatase
