Protein Group	Protein ID	Accession	-10lgP	Coverage (%)	Coverage (%) Sample 2	Area Sample 2	#Peptides	#Unique	#Spec Sample 2	PTM	Avg. Mass	Description
1	5	LLHKPE_01533	438,93	80	80	3,95E+09	58	29	188	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101032	pyruvate  phosphate dikinase
4	12	JABIIP_02418	418,13	73	73	6,96E+08	52	22	130	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101161	pyruvate  phosphate dikinase
5	13	LLHKPE_02081	413,86	71	71	1,98E+09	46	25	129	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	96774	Alpha-1 4 glucan phosphorylase
8	16	FCFFJI_02000	412,91	71	71	7,41E+09	38	32	123	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	69960	propionate--CoA ligase
16	17	FCFFJI_01093	398,03	71	71	4,15E+09	36	35	94	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	48651	ABC transporter substrate-binding protein
11	9	LLHKPE_01762	393,19	72	72	3,00E+09	33	18	101	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67598	phosphoenolpyruvate carboxykinase (GTP)
45	53	LLHKPE_01051	390,26	52	52	8,99E+08	43	28	71	Carbamidomethylation	130372	pyruvate:ferredoxin (flavodoxin) oxidoreductase
3	88	FCFFJI_01079	386,42	64	64	7,98E+09	29	28	136	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	47467	Branched-chain amino acid ABC transporter substrate-binding protein
6	50	FCFFJI_02098	385,93	60	60	6,59E+09	35	31	128	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71280	acetate--CoA ligase
17	21	LLHKPE_00710	385,82	69	69	1,51E+09	29	21	93	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63539	crotonyl-CoA carboxylase/reductase
33	15	FCFFJI_01613	382,23	67	67	2,55E+09	32	32	78	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	68347	Class I poly(R)-hydroxyalkanoic acid synthase
2	117	LLHKPE_02861	381,33	87	87	2,84E+09	34	13	142	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35690	type I glyceraldehyde-3-phosphate dehydrogenase
86	1	LLHKPE_00788	380,86	75	75	7,26E+08	26	18	54	Carbamidomethylation; Deamidation (NQ)	59404	alpha-D-glucose phosphate-specific phosphoglucomutase
19	77	BDJIJG_00228	377,34	44	44	2,97E+07	32	2	89	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101584	pyruvate  phosphate dikinase
26	19	LLHKPE_03895	377,01	66	66	1,42E+09	39	26	85	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	64773	isocitrate dehydrogenase (NADP(+))
9	7	LLHKPE_03317	374,34	68	68	1,08E+09	28	14	112	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	57961	chaperonin GroEL
13	34	LLHKPE_00675	370,46	64	64	4,27E+09	32	20	98	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71668	acetate--CoA ligase
20	39	LLHKPE_01512	370,01	59	59	1,67E+09	31	16	89	Deamidation (NQ); Oxidation (M)	68206	Polyhydroxyalkanoate synthase
18	18	LLHKPE_00131	368,24	64	64	3,37E+09	35	18	91	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70224	propionate--CoA ligase
22	20	LLHKPE_01605	366,93	67	67	7,54E+08	30	16	88	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	63980	fumarate reductase (quinol) flavoprotein subunit
32	23	LLHKPE_01236	366,71	70	70	4,88E+08	39	19	79	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92799	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
55	37	LLHKPE_00470	366,33	55	55	3,12E+08	29	8	67	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79872	methylmalonyl-CoA mutase
25	3	LLHKPE_02050	366,1	73	73	2,83E+08	28	6	85	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49584	F0F1 ATP synthase subunit beta
52	54	DHPIBI_00441	365,23	47	47	8,48E+07	30	4	68	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	101346	pyruvate  phosphate dikinase
21	43	FCFFJI_00093	364,59	61	61	1,82E+09	36	28	89	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	92663	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
57	47	FCFFJI_01351	364,27	59	59	8,35E+08	41	38	66	Carbamidomethylation; Oxidation (M)	100840	pyruvate dehydrogenase (acetyl-transferring)  homodimeric type
39	85	LLHKPE_02862	360,46	82	82	2,24E+09	24	10	75	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41390	Phosphoglycerate kinase
30	11	FCFFJI_00405	358,43	74	74	2,32E+09	27	18	81	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	50617	F0F1 ATP synthase subunit beta
61	67	FCFFJI_02627	356,78	43	43	4,73E+08	41	36	64	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	157890	DNA-directed RNA polymerase subunit beta
129	96	LLHKPE_00471	356,38	43	43	1,51E+09	22	19	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	76346	methylmalonyl-CoA mutase
64	40	LLHKPE_03141	356,32	64	64	1,00E+09	23	15	63	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	65445	succinate dehydrogenase flavoprotein subunit
91	74	FCFFJI_02151	355,77	46	46	1,42E+09	34	33	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	105147	2-oxoglutarate dehydrogenase E1 component
75	28	FCFFJI_02474	354,97	59	59	5,66E+08	27	22	58	Carbamidomethylation; Deamidation (NQ)	68054	phosphoenolpyruvate carboxykinase (GTP)
63	10	LLHKPE_00701	354,46	77	77	1,28E+09	31	21	64	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	62577	Putative acyl-CoA dehydrogenase
77	30	LLHKPE_02048	353,77	60	60	1,04E+09	27	15	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	55856	F0F1 ATP synthase subunit alpha
81	41	LLHKPE_03554	352,8	59	59	4,82E+08	31	13	56	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	76932	elongation factor G
115	46	FCFFJI_02692	351,81	57	57	5,68E+08	29	24	49	Carbamidomethylation; Deamidation (NQ)	77367	elongation factor G
31	35	JABIIP_02384	351,46	64	64	6,55E+08	31	12	80	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67903	phosphoenolpyruvate carboxykinase (GTP)
27	2	LLHKPE_00524	350,62	83	83	1,76E+09	28	17	84	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	54613	Glycosyl hydrolase family 57
48	61	JABIIP_02458	350,62	46	46	2,11E+08	31	15	70	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	95575	Alpha-1 4 glucan phosphorylase
10	86	LLHKPE_02093	350,25	77	77	2,56E+09	25	16	101	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45193	phosphopyruvate hydratase
70	32	JABIIP_01758	350,05	51	51	7,35E+08	27	22	60	Deamidation (NQ); Oxidation (M)	68457	Poly-beta-hydroxybutyrate polymerase
108	76	LLHKPE_02106	349,2	42	42	3,08E+08	39	39	49		143996	XrtA/PEP-CTERM system TPR-repeat protein PrsT
76	52	FCFFJI_01030	348,31	50	50	1,66E+09	21	21	58	Carbamidomethylation; Oxidation (M)	64196	Poly-beta-hydroxybutyrate polymerase
42	55	LLHKPE_00940	348,17	51	51	1,07E+09	25	15	73	Carbamidomethylation; Oxidation (M)	87879	hypothetical protein
54	154	LLHKPE_00957	348,11	80	80	1,86E+09	27	12	68	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	41526	Extracellular ligand-binding receptor
38	215	LLHKPE_02143	346,27	77	77	1,22E+09	24	14	76	Deamidation (NQ); Oxidation (M)	36357	C4-dicarboxylate-binding periplasmic protein
92	14	FCFFJI_02153	346,14	80	80	1,28E+09	27	27	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	50021	dihydrolipoyl dehydrogenase
82	134	AIFLKA_00238	345,87	51	51	1,42E+08	26	6	56	Carbamidomethylation; Deamidation (NQ)	71790	acetate--CoA ligase
40	6	FCFFJI_02367	345,75	71	71	1,09E+09	32	30	75	Deamidation (NQ); Oxidation (M)	54419	Cell envelope protein
56	4	JABIIP_01230	345,51	71	71	4,71E+07	23	4	66	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	49454	F0F1 ATP synthase subunit beta
111	27	FCFFJI_00372	345,11	63	63	1,04E+09	25	25	49	Deamidation (NQ); Oxidation (M)	66781	TonB-dependent receptor
34	70	LLHKPE_00746	344,31	48	48	1,45E+09	31	30	78	Deamidation (NQ); Oxidation (M)	103148	Sulfatase
60	189	JABIIP_01038	344,1	75	75	1,09E+08	22	2	66	Carbamidomethylation; Oxidation (M)	41546	Phosphoglycerate kinase
122	108	JABIIP_02656	342,67	48	48	8,03E+07	24	4	48	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	71617	acetate--CoA ligase
35	160	JABIIP_00976	341,29	72	72	9,56E+07	24	4	77	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45494	phosphopyruvate hydratase
112	59	LLHKPE_00969	341,09	55	55	5,86E+08	24	9	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
112	60	ODMPFI_03282	341,09	55	55	5,86E+08	24	9	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	59798	malate synthase A
7	412	FCFFJI_00925	340,47	58	58	1,76E+10	17	17	126	Deamidation (NQ); Oxidation (M)	42704	Porin domain-containing protein
94	84	LLHKPE_01945	339,93	73	73	1,59E+09	23	9	52	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39769	Leucine transporter subunit periplasmic-binding component of ABC superfamily
24	296	LLHKPE_00373	339,45	77	77	3,28E+09	21	13	86	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	26508	Acetoacetyl-CoA reductase
113	63	JABIIP_00068	336,82	43	43	3,01E+07	22	4	49	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	79500	methylmalonyl-CoA mutase
136	90	FCFFJI_01881	335,56	68	68	6,20E+08	20	20	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43634	Aminotransferase
90	413	LLHKPE_00879	335,07	85	85	2,63E+09	20	15	54	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	28674	RES domain-containing protein
46	129	FCFFJI_02319	334,77	83	83	4,91E+09	21	21	71	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	40461	Acetyl-CoA C-acyltransferase family protein
47	153	LLHKPE_01272	334,39	67	67	1,39E+09	24	16	71	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	39821	proton-translocating NAD(P)(+) transhydrogenase
12	200	LLHKPE_02445	334,11	23	23	8,04E+09	19	19	100	Deamidation (NQ); Oxidation (M)	133176	hypothetical protein
62	31	JABIIP_00347	333,63	61	61	2,75E+08	31	10	64	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	70412	propionate--CoA ligase
29	241	AIFLKA_02757	333,29	73	73	1,97E+08	23	1	81	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35663	type I glyceraldehyde-3-phosphate dehydrogenase
118	24	LLHKPE_01515	332,74	62	62	3,36E+08	26	9	48	Carbamidomethylation	56077	Methylmalonyl-CoA carboxyltransferase
44	234	LLHKPE_02739	332,47	69	69	6,96E+09	19	19	72	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	43722	DUF4331 domain-containing protein
51	97	AIFLKA_01000	332,23	58	58	4,62E+07	24	5	69	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	67581	phosphoenolpyruvate carboxykinase (GTP)
80	38	FCFFJI_00407	332,15	57	57	6,66E+08	28	20	57	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	55277	F0F1 ATP synthase subunit alpha
69	73	FCFFJI_01107	332,15	35	35	3,92E+08	33	30	60	Carbamidomethylation; Deamidation (NQ)	168945	glutamate synthase large subunit
67	75	LLHKPE_01886	330,43	39	39	4,27E+08	41	41	62	Deamidation (NQ)	188902	Alpha-2-macroglobulin
182	56	LLHKPE_01514	329,84	47	47	5,84E+08	26	15	39	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	73474	Biotin carboxylase
87	167	AIFLKA_02758	329,42	65	65	2,71E+07	19	2	54	Carbamidomethylation; Oxidation (M)	39909	Phosphoglycerate kinase
287	257	LLHKPE_00829	329,4	65	65	3,65E+08	19	16	30	Carbamidomethylation	39081	3-phosphoserine/phosphohydroxythreonine transaminase
173	310	FCFFJI_02420	328,61	58	58	1,61E+09	21	18	40	Deamidation (NQ); Oxidation (M)	41921	TRAP transporter substrate-binding protein
148	33	FCFFJI_00620	328,56	61	61	3,84E+08	25	12	43	Carbamidomethylation; Oxidation (M)	59424	malate synthase A
130	161	LLHKPE_02932	327,34	64	64	9,41E+08	21	13	46	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	48482	citrate synthase
71	91	LLHKPE_01052	327,26	62	62	7,61E+08	23	10	59	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	60548	Pyridine nucleotide-disulphide oxidoreductase family protein
109	119	LLHKPE_02230	326,92	53	53	2,63E+08	26	11	49	Carbamidomethylation; Oxidation (M)	69255	molecular chaperone DnaK
134	68	LLHKPE_01859	326,32	51	51	3,59E+08	25	20	45	Carbamidomethylation; Deamidation (NQ)	83791	NADH-quinone oxidoreductase subunit NuoG
181	110	LGNCKJ_02101	325,92	39	39	9,57E+06	20	2	39	Carbamidomethylation; Oxidation (M)	71614	acetate--CoA ligase
68	216	FCFFJI_01922	325,69	78	78	2,23E+09	18	13	62	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	35165	malate dehydrogenase
179	66	FCFFJI_01152	325,64	46	46	4,77E+08	24	24	39	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	82345	NADP-dependent isocitrate dehydrogenase
103	22	LLHKPE_01290	325,36	66	66	5,17E+08	23	15	51	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	56184	Fumarate hydratase class I
41	274	LGNCKJ_01570	325,19	59	59	2,58E+07	20	3	74	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	45643	phosphopyruvate hydratase
133	103	FCFFJI_01043	324,39	53	53	4,98E+08	24	24	45	Carbamidomethylation; Oxidation (M)	65613	Aldehyde ferredoxin oxidoreductase family protein
